Elo(538-MOV)_weight,IP_weight,AUC,Brier
0.358,0.642,0.6118692118692118,0.2377449798918314
0.015,0.985,0.6289312039312039,0.23774598449488638
0.359,0.641,0.6118408618408618,0.23774995954101744
0.014,0.986,0.6289855414855414,0.23775097000181622
0.36,0.64,0.6118101493101493,0.2377549681586807
0.013000000000000001,0.987,0.6290469665469666,0.2377559844772231
0.361,0.639,0.6117652617652618,0.23776000574482092
0.012,0.988,0.6290942165942166,0.23776102792110715
0.362,0.638,0.6117227367227367,0.2377650722994382
0.011,0.989,0.6291461916461917,0.2377661003334682
0.363,0.637,0.6116518616518616,0.23777016782253266
0.01,0.99,0.6291627291627292,0.23777120171430643
0.364,0.636,0.6115857115857116,0.2377752923141041
0.009000000000000001,0.991,0.6292265167265167,0.23777633206362164
0.365,0.635,0.6115195615195614,0.23778044577415272
0.008,0.992,0.6292997542997543,0.23778149138141402
0.366,0.634,0.611498298998299,0.2377856282026784
0.007,0.993,0.6293446418446418,0.2377866796676834
0.367,0.633,0.6114439614439615,0.23779083959968114
0.006,0.994,0.6294155169155169,0.23779189692242994
0.368,0.632,0.6113848988848989,0.23779607996516097
0.005,0.995,0.6294627669627669,0.23779714314565348
0.369,0.631,0.6113754488754488,0.2378013492991178
0.004,0.996,0.6294982044982045,0.23780241833735416
0.37,0.63,0.6113589113589113,0.23780664760155182
0.003,0.997,0.6295289170289171,0.23780772249753188
0.371,0.629,0.6112856737856738,0.23781197487246292
0.002,0.998,0.6295808920808921,0.2378130556261867
0.372,0.628,0.6112809487809487,0.23781733111185102
0.001,0.999,0.6296092421092421,0.23781841772331863
0.373,0.627,0.6112407862407863,0.23782271631971622
0.0,1.0,0.6297427234927235,0.23782380878892762
0.374,0.626,0.6111982611982613,0.2378281304960586
0.375,0.625,0.6111486486486486,0.23783357364087795
0.376,0.624,0.6111084861084861,0.23783904575417436
0.377,0.623,0.6110305235305236,0.23784454683594797
0.378,0.622,0.6109596484596485,0.23785007688619858
0.379,0.621,0.6108934983934984,0.23785563590492634
0.38,0.62,0.6108297108297108,0.2378612238921311
