w1,w2,w3,AUC,Brier
0.0,0.8200000000000001,0.17999999999999994,0.5708396333396333,0.24312971374542536
0.0,0.8300000000000001,0.16999999999999993,0.5697457947457948,0.2433253632099602
0.0,0.84,0.16000000000000003,0.5687393687393687,0.24352416793489332
0.0,0.85,0.15000000000000002,0.5678014553014553,0.2437261279202247
0.0,0.86,0.14,0.5669013419013419,0.2439312431659543
0.0,0.87,0.13,0.5658145908145907,0.24413951367208228
0.0,0.88,0.12,0.5646971271971273,0.24435093943860856
0.0,0.89,0.10999999999999999,0.5637190512190512,0.24456552046553304
0.0,0.9,0.09999999999999998,0.5627220752220752,0.24478325675285587
0.0,0.91,0.08999999999999997,0.5615738990738991,0.24500414830057698
0.0,0.92,0.07999999999999996,0.5604446229446229,0.2452281951086963
0.0,0.93,0.06999999999999995,0.559475996975997,0.24545539717721399
0.0,0.9400000000000001,0.05999999999999994,0.5583797958797959,0.24568575450612992
0.0,0.9500000000000001,0.04999999999999993,0.5572906822906822,0.24591926709544415
0.0,0.96,0.040000000000000036,0.5562417312417313,0.2461559349451566
0.0,0.97,0.030000000000000027,0.5552045927045928,0.24639575805526742
0.0,0.98,0.020000000000000018,0.5541863541863542,0.2466387364257765
0.0,0.99,0.010000000000000009,0.5531633906633906,0.24688487005668383
0.0,1.0,0.0,0.5521286146286146,0.24713415894798946
0.01,0.0,0.99,0.6291627291627292,0.23777120171430643
0.01,0.01,0.98,0.6286477036477036,0.23771107717777423
0.01,0.02,0.97,0.6282980532980533,0.23765410790164032
0.01,0.03,0.96,0.6280074655074654,0.2376002938859047
0.01,0.04,0.95,0.62753024003024,0.23754963513056737
0.01,0.05,0.94,0.6270530145530145,0.2375021316356283
0.01,0.06,0.9299999999999999,0.6266230391230391,0.23745778340108759
0.01,0.07,0.9199999999999999,0.6263537138537139,0.23741659042694507
0.01,0.08,0.91,0.625935550935551,0.23737855271320085
0.01,0.09,0.9,0.625507938007938,0.23734367025985495
0.01,0.1,0.89,0.6251488376488377,0.2373119430669073
0.01,0.11,0.88,0.6247306747306748,0.23728337113435796
0.01,0.12,0.87,0.6243006993006993,0.2372579544622069
0.01,0.13,0.86,0.6237502362502363,0.2372356930504541
0.01,0.14,0.85,0.6232044982044982,0.2372165868990996
0.01,0.15,0.84,0.6226185976185976,0.2372006360081434
0.01,0.16,0.83,0.6220350595350596,0.23718784037758545
0.01,0.17,0.82,0.6215696465696465,0.2371782000074258
0.01,0.18,0.81,0.6211207711207711,0.23717171489766442
0.01,0.19,0.8,0.6205773955773956,0.23716838504830137
0.01,0.2,0.79,0.61999621999622,0.23716821045933656
0.01,0.21,0.78,0.6195237195237195,0.23717119113077004
0.01,0.22,0.77,0.6190866565866566,0.2371773270626018
0.01,0.23,0.76,0.6184889434889435,0.23718661825483184
0.01,0.24,0.75,0.6178203553203553,0.23719906470746016
0.01,0.25,0.74,0.6172628047628048,0.23721466642048683
0.01,0.26,0.73,0.6165375165375165,0.23723342339391168
0.01,0.27,0.72,0.6160059535059534,0.23725533562773485
0.01,0.28,0.71,0.6154743904743905,0.2372804031219563
0.01,0.29,0.7,0.6148081648081648,0.23730862587657606
0.01,0.3,0.69,0.6141962766962767,0.2373400038915941
0.01,0.31,0.6799999999999999,0.6136340011340011,0.2373745371670104
0.01,0.32,0.6699999999999999,0.6129795879795881,0.237412225702825
0.01,0.33,0.6599999999999999,0.6123487998487999,0.23745306949903786
0.01,0.34,0.6499999999999999,0.6117770742770743,0.23749706855564906
0.01,0.35000000000000003,0.6399999999999999,0.6111533736533736,0.2375442228726585
0.01,0.36,0.63,0.6104635229635229,0.2375945324500662
0.01,0.37,0.62,0.6097547722547723,0.23764799728787223
0.01,0.38,0.61,0.6089775089775089,0.23770461738607654
0.01,0.39,0.6,0.6083561708561709,0.23776439274467911
0.01,0.4,0.59,0.6077324702324702,0.23782732336367993
0.01,0.41000000000000003,0.58,0.607016632016632,0.23789340924307908
0.01,0.42,0.5700000000000001,0.6062110187110188,0.23796265038287653
0.01,0.43,0.56,0.6055636930636931,0.23803504678307225
0.01,0.44,0.55,0.6049187299187299,0.23811059844366625
0.01,0.45,0.54,0.6043115668115668,0.23818930536465852
0.01,0.46,0.53,0.6036004536004537,0.23827116754604907
0.01,0.47000000000000003,0.52,0.6027901152901152,0.2383561849878379
0.01,0.48,0.51,0.6020530145530145,0.23844435769002503
0.01,0.49,0.5,0.6012781137781138,0.2385356856526104
0.01,0.5,0.49,0.6004228879228879,0.2386301688755941
0.01,0.51,0.48,0.5996597996597997,0.23872780735897614
0.01,0.52,0.47,0.5987951237951238,0.2388286011027564
0.01,0.53,0.45999999999999996,0.5980556605556605,0.2389325501069349
0.01,0.54,0.44999999999999996,0.5972098847098848,0.23903965437151178
0.01,0.55,0.43999999999999995,0.5962766962766963,0.23914991389648682
0.01,0.56,0.42999999999999994,0.5953883953883954,0.2392633286818602
0.01,0.5700000000000001,0.41999999999999993,0.594436306936307,0.23937989872763188
0.01,0.58,0.41000000000000003,0.5935692685692685,0.23949962403380184
