method,size,components,AUC,Brier,NDCG,MAP@16,Sp_Standings,Tau_Standings,Sp_Pyth,Tau_Pyth,weights,rank_q,prob_q,SubScore
elo_basic+lin_elo,2,Elo(basic) + Lin-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / Lin-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+ja_elo,2,Elo(basic) + J-A-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / J-A-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+log_elo,2,Elo(basic) + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / Log-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+mult_elo,2,Elo(basic) + Mult-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / Mult-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
elo_basic,1,Elo(basic),0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,—,0.4837632287758649,0.8444619947873452,0.6641
elo_basic+ja_elo+log_elo,3,Elo(basic) + J-A-Elo + Log-Elo,0.6210,0.2362,0.9950,0.8763,0.8317,0.6653,0.8010,0.6452,Elo(basic)=100% / J-A-Elo=0% / Log-Elo=0%,0.4837632287758649,0.8444619947873452,0.6641
ja_elo+log_elo+parx,3,J-A-Elo + Log-Elo + PARX,0.6146,0.2363,0.9917,0.8259,0.7684,0.6002,0.8098,0.6411,J-A-Elo=75% / Log-Elo=0% / PARX=25%,0.31235581143425956,0.8353909950130678,0.5739
lin_elo+ja_elo+parx,3,Lin-Elo + J-A-Elo + PARX,0.6146,0.2363,0.9917,0.8259,0.7684,0.6002,0.8098,0.6411,Lin-Elo=0% / J-A-Elo=75% / PARX=25%,0.31235581143425956,0.8353909950130678,0.5739
ja_elo+mult_elo+parx,3,J-A-Elo + Mult-Elo + PARX,0.6146,0.2363,0.9917,0.8259,0.7684,0.6002,0.8098,0.6411,J-A-Elo=75% / Mult-Elo=0% / PARX=25%,0.31235581143425956,0.8353909950130678,0.5739
lin_elo+ja_elo,2,Lin-Elo + J-A-Elo,0.6139,0.2376,0.9932,0.8396,0.7757,0.6165,0.7808,0.6129,Lin-Elo=0% / J-A-Elo=100%,0.3495155444038889,0.7629209225401047,0.5562
lin_elo+ja_elo+log_elo,3,Lin-Elo + J-A-Elo + Log-Elo,0.6139,0.2376,0.9932,0.8396,0.7757,0.6165,0.7808,0.6129,Lin-Elo=0% / J-A-Elo=100% / Log-Elo=0%,0.3495155444038889,0.7629209225401047,0.5562
ja_elo+mult_elo,2,J-A-Elo + Mult-Elo,0.6139,0.2376,0.9932,0.8396,0.7757,0.6165,0.7808,0.6129,J-A-Elo=100% / Mult-Elo=0%,0.3495155444038889,0.7629209225401047,0.5562
lin_elo+ja_elo+mult_elo,3,Lin-Elo + J-A-Elo + Mult-Elo,0.6139,0.2376,0.9932,0.8396,0.7757,0.6165,0.7808,0.6129,Lin-Elo=0% / J-A-Elo=100% / Mult-Elo=0%,0.3495155444038889,0.7629209225401047,0.5562
ja_elo+mult_elo+log_elo,3,J-A-Elo + Mult-Elo + Log-Elo,0.6139,0.2376,0.9932,0.8396,0.7757,0.6165,0.7808,0.6129,J-A-Elo=100% / Mult-Elo=0% / Log-Elo=0%,0.3495155444038889,0.7629209225401047,0.5562
ja_elo+log_elo,2,J-A-Elo + Log-Elo,0.6139,0.2376,0.9932,0.8396,0.7757,0.6165,0.7808,0.6129,J-A-Elo=100% / Log-Elo=0%,0.3495155444038889,0.7629209225401047,0.5562
ja_elo,1,J-A-Elo,0.6139,0.2376,0.9932,0.8396,0.7757,0.6165,0.7808,0.6129,—,0.3495155444038889,0.7629209225401047,0.5562
ja_elo+parx,2,J-A-Elo + PARX,0.6146,0.2363,0.9906,0.8087,0.7603,0.5921,0.8050,0.6331,J-A-Elo=77% / PARX=23%,0.24861552766107073,0.836050569984814,0.5423
mult_elo+log_elo+parx,3,Mult-Elo + Log-Elo + PARX,0.6124,0.2377,0.9848,0.7895,0.7506,0.5799,0.7808,0.6048,Mult-Elo=0% / Log-Elo=75% / PARX=25%,0.0630923298544884,0.7524025815729862,0.4077
lin_elo+log_elo+parx,3,Lin-Elo + Log-Elo + PARX,0.6124,0.2377,0.9848,0.7895,0.7506,0.5799,0.7808,0.6048,Lin-Elo=0% / Log-Elo=75% / PARX=25%,0.0630923298544884,0.7524025815729862,0.4077
log_elo+parx,2,Log-Elo + PARX,0.6124,0.2377,0.9848,0.7895,0.7506,0.5799,0.7808,0.6048,Log-Elo=75% / PARX=25%,0.0630923298544884,0.7524025815729862,0.4077
log_elo,1,Log-Elo,0.6113,0.2391,0.9853,0.8025,0.7586,0.5921,0.7676,0.5806,—,0.07915498279143111,0.6720503995041106,0.3756
